# 500 sources from f125w_trimmed_matched_to_grism_PA0.00.fits (nsigma=5.00, npixels=8), brightest first
# RA_deg  Dec_deg  flux  x_pix  y_pix
150.0699006  2.2958035        121.15    171.08   3330.96
150.0793166  2.3580907        120.82    479.06   1292.48
150.1517387  2.3968599        120.80   2847.21     23.69
150.1363572  2.3336075        120.80   2344.27   2093.77
150.1739056  2.3173171        120.42   3572.12   2626.89
150.0736070  2.3468269        120.28    292.35   1661.11
150.1136362  2.2755656        119.75   1601.27   3993.32
150.1174942  2.3968789        119.06   1727.46     23.07
150.1172549  2.3200212        118.16   1719.62   2538.41
150.1026751  2.3735467        117.57   1242.88    786.66
150.1814534  2.2863325        115.59   3818.98   3640.92
150.1462462  2.3817583        114.90   2667.62    517.92
150.0851154  2.3573199        113.68    668.68   1317.71
150.1461555  2.3743064        113.56   2664.66    761.81
150.0975596  2.3291127        112.94   1075.58   2240.86
150.1399829  2.3880205        112.79   2462.81    312.98
150.0678437  2.3957820        112.35    103.95     58.93
150.1408901  2.3780948        111.89   2492.48    637.82
150.1739782  2.3009665        111.75   3574.52   3162.00
150.0681281  2.3304699        110.84    113.16   2196.42
150.1887975  2.3209928        110.54   4059.09   2506.57
150.1485328  2.3246215        109.86   2742.42   2387.86
150.1059064  2.3747184        108.98   1348.54    748.32
150.0803066  2.3139126        108.58    511.38   2738.31
150.1447415  2.3343789        108.25   2618.44   2068.52
150.1225636  2.3500764        108.15   1893.22   1554.79
150.0989711  2.3887537        106.91   1121.77    288.98
150.1713810  2.2795179        106.46   3489.61   3863.96
150.1315174  2.3329295        105.81   2186.01   2115.96
150.0946510  2.3913416        105.73    980.51    204.28
150.0992734  2.3234634        105.34   1131.62   2425.75
150.0957176  2.3686638        104.77   1015.37    946.46
150.1646721  2.3228144        104.35   3270.18   2446.99
150.0778044  2.2772596        103.79    429.52   3937.86
150.1520210  2.3892901        103.25   2856.44    271.43
150.1296507  2.3112694        102.86   2124.97   2824.84
150.1627274  2.3590606        102.80   3206.56   1260.75
150.1833147  2.3855381        102.21   3879.72    394.19
150.0932311  2.3669979        100.36    934.07   1000.98
150.1630151  2.2833399         99.19   3216.03   3738.88
150.1543463  2.3932850         98.51   2932.48    140.68
150.1426002  2.3646188         98.32   2548.40   1078.85
150.0751754  2.3865654         98.06    343.68    360.57
150.1638927  2.2909480         97.96   3244.72   3489.89
150.1653306  2.2894071         97.70   3291.74   3540.32
150.1402979  2.3659617         97.46   2473.12   1034.91
150.1166136  2.3604607         97.13   1698.66   1214.94
150.1640011  2.3542352         96.69   3248.21   1418.67
150.1283039  2.3334178         96.67   2080.92   2099.98
150.1001080  2.3684434         96.16   1158.94    953.68
150.1032958  2.3807673         94.17   1263.18    550.36
150.1277369  2.3275154         93.53   2062.38   2293.15
150.1317409  2.3586565         93.32   2193.31   1273.99
150.0999445  2.3430037         93.30   1153.57   1786.25
150.1112401  2.3892604         92.24   1522.96    272.40
150.1790474  2.3641398         91.91   3740.21   1094.50
150.1014609  2.2784206         90.77   1203.12   3899.88
150.1614687  2.3624743         90.27   3165.40   1149.03
150.1068787  2.3624516         90.13   1380.33   1149.78
150.1566158  2.3969986         90.11   3006.68     19.15
150.0712957  2.3629066         89.57    216.79   1134.86
150.0922865  2.3506256         89.38    903.16   1536.80
150.1204548  2.3276757         89.38   1824.26   2287.91
150.1489708  2.3092513         89.15   2756.75   2890.88
150.1852767  2.3079272         88.71   3943.98   2934.18
150.0946871  2.3538035         88.06    981.66   1432.80
150.1399595  2.3759666         88.00   2462.05    707.47
150.1302298  2.3704820         87.73   2143.90    886.97
150.1119423  2.3654160         87.10   1545.91   1052.76
150.0783610  2.3507783         87.08    447.80   1531.79
150.1577734  2.3292553         86.76   3044.58   2236.20
150.1004373  2.3079745         86.35   1169.67   2932.66
150.1650366  2.3449735         85.96   3282.08   1721.78
150.1329968  2.3032216         85.13   2234.39   3088.22
150.1560483  2.3472685         84.81   2988.16   1646.68
150.1194808  2.3158281         84.53   1792.40   2675.64
150.1169011  2.3869249         83.87   1708.06    348.84
150.1442018  2.3606885         83.53   2600.78   1207.48
150.1627126  2.3364765         83.31   3206.09   1999.86
150.0943455  2.3829542         83.19    970.52    478.78
150.1370763  2.3174131         82.43   2367.79   2623.77
150.1180628  2.2933015         81.74   1746.03   3412.88
150.1220993  2.3528015         81.00   1878.03   1465.61
150.1235503  2.3192727         80.56   1925.48   2562.91
150.0954913  2.3580017         79.69   1007.97   1295.41
150.1556622  2.3969406         79.31   2975.50     21.04
150.1020480  2.3574319         79.29   1222.37   1314.06
150.1004759  2.2936652         79.27   1170.92   3400.97
150.1176775  2.3181943         79.26   1733.44   2598.20
150.1331231  2.3050469         78.42   2238.52   3028.48
150.0813471  2.3275754         78.24    545.42   2291.16
150.1446139  2.2785005         77.58   2614.29   3897.27
150.1353195  2.2829884         77.46   2310.34   3750.40
150.0793401  2.3542434         77.28    479.82   1418.39
150.1566238  2.3953049         77.20   3006.95     74.58
150.1536162  2.3974523         76.64   2908.60      4.30
150.1412044  2.3229998         76.35   2502.78   2440.93
150.0789398  2.3922290         75.89    466.78    175.22
150.1145360  2.3500729         75.74   1630.72   1554.91
150.0957638  2.3412393         75.62   1016.86   1843.99
150.1426687  2.3051470         75.01   2550.67   3025.20
150.0895203  2.2871244         74.60    812.65   3615.02
150.1028144  2.2927149         74.28   1247.39   3432.07
150.0906155  2.2851659         74.15    848.47   3679.12
150.1875924  2.3224955         72.56   4019.68   2457.40
150.1284496  2.3146436         72.37   2085.69   2714.41
150.1687678  2.3787920         71.91   3404.06    614.99
150.1843908  2.3336602         71.73   3914.97   2092.01
150.1656259  2.3908536         70.56   3301.31    220.25
150.0774624  2.3265733         70.50    418.39   2323.95
150.0742168  2.3027759         70.43    312.23   3102.77
150.1888320  2.3822916         70.40   4060.13    500.43
150.1690590  2.3745643         69.48   3413.58    753.35
150.1104872  2.3234903         69.45   1498.31   2424.88
150.1774374  2.3566221         68.58   3687.57   1340.54
150.1518840  2.3345951         68.45   2852.00   2061.45
150.0744431  2.3460416         68.44    319.69   1686.81
150.1261970  2.3578314         68.22   2012.03   1300.99
150.0794965  2.2877579         67.88    484.86   3594.28
150.1574325  2.2809127         67.71   3033.47   3818.32
150.1717172  2.3323490         67.50   3500.55   2134.94
150.1373342  2.3020219         67.22   2376.22   3127.48
150.1453369  2.2749997         67.03   2637.93   4011.84
150.1712773  2.2968296         67.00   3486.20   3297.39
150.1454718  2.2933747         66.45   2642.34   3410.48
150.1887763  2.3442564         66.28   4058.37   1745.22
150.1673652  2.3158137         66.05   3358.25   2676.10
150.0731457  2.3609526         65.73    277.28   1198.81
150.1049930  2.3908466         65.59   1318.68    220.49
150.1129115  2.3270489         65.17   1577.59   2308.41
150.1434542  2.3411003         64.81   2576.34   1848.55
150.1428982  2.3677851         64.06   2558.15    975.23
150.0677926  2.3107448         63.98    102.16   2841.97
150.1026455  2.2898296         63.47   1241.87   3526.50
150.1316135  2.3876541         63.39   2189.14    324.97
150.1260976  2.3761044         63.36   2008.78    702.97
150.0929774  2.3123234         62.91    925.73   2790.33
150.1133176  2.3306989         62.77   1590.87   2188.96
150.0858880  2.3662436         62.48    693.95   1025.66
150.0833330  2.2784388         62.05    610.31   3899.27
150.1400658  2.3674216         62.03   2465.53    987.13
150.1180877  2.3524571         61.87   1746.86   1476.88
150.0704494  2.2862638         61.82    189.01   3643.17
150.0843474  2.2904808         61.81    643.50   3505.17
150.1895952  2.2938726         61.67   4085.21   3394.15
150.1195753  2.2958910         61.65   1795.49   3328.13
150.1249563  2.3102763         61.53   1971.45   2857.34
150.1704936  2.3622261         61.53   3460.50   1157.14
150.1741418  2.3477081         61.49   3579.82   1632.27
150.1576637  2.2853649         61.25   3041.03   3672.61
150.1001741  2.2824395         61.10   1161.05   3768.36
150.0683783  2.2978476         60.69    121.30   3264.06
150.0670681  2.3724108         60.64     78.56    823.80
150.0995439  2.3797535         60.48   1140.50    583.53
150.1019727  2.2984509         59.67   1219.87   3244.35
150.1873058  2.2991289         59.54   4010.34   3222.12
150.1317209  2.3778993         58.53   2192.66    644.22
