# flux          loglam   ivar         
  3.0922618     3.5889   1.3045727    
  3.429838      3.589    1.3365144    
  3.322806      3.5891   1.3100841    
  4.707087      3.5892   1.1648883    
  5.125337      3.5893   1.1112777    
  3.2645154     3.5894   1.216224     
  2.2927952     3.5895   1.323447     
  3.5246243     3.5896   1.3299124    
  3.4394174     3.5897   1.3440552    
  2.6762884     3.5898   1.4436271    
  2.7142575     3.5899   1.4528891    
  2.70259       3.59     1.3512868    
  1.9023411     3.5901   1.2667146    
  1.2780288     3.5902   1.2236873    
  2.3631833     3.5903   1.2416345    
  2.8185802     3.5904   1.2279462    
  4.0587296     3.5905   1.1660386    
  3.04376       3.5906   1.0882916    
  2.0220106     3.5907   1.2804109    
  2.8688347     3.5908   1.2512866    
  2.6577036     3.5909   1.4193023    
  2.2334597     3.591    1.5617306    
  2.8367488     3.5911   1.3364184    
  3.539265      3.5912   1.2743325    
  4.1941338     3.5913   1.0840864    
  3.4056525     3.5914   1.2658861    
  0.3015775     3.5915   1.5412899    
  3.1933475     3.5916   1.2938416    
  2.9148207     3.5917   1.0347664    
  2.9470053     3.5918   1.0120759    
  3.7615738     3.5919   0.9416668    
  3.692139      3.592    0.9967381    
  3.3791637     3.5921   1.0741814    
  2.8566716     3.5922   1.1337119    
  2.045878      3.5923   1.0639853    
  2.3123794     3.5924   0.9597892    
  3.6823552     3.5925   0.85873413   
  4.181433      3.5926   0.84406203   
  2.5097523     3.5927   1.0248291    
  3.5065331     3.5928   1.0888656    
  2.878138      3.5929   1.0679895    
  2.5563426     3.593    1.1320311    
  3.4159987     3.5931   1.2857953    
  4.3752146     3.5932   1.332963     
  4.4719095     3.5933   1.2596172    
  4.44352       3.5934   1.2224504    
  3.4792047     3.5935   1.3985298    
  2.634943      3.5936   1.6324111    
  3.0785635     3.5937   1.6097205    
  4.144624      3.5938   1.4204714    
  3.6725216     3.5939   1.497648     
  2.438134      3.594    1.720951     
  1.8329811     3.5941   1.8215168    
  2.1926432     3.5942   1.8754574    
  3.039867      3.5943   1.8342944    
  3.2656183     3.5944   1.8835944    
  2.2187207     3.5945   1.9358927    
  2.0625663     3.5946   1.9653518    
  2.1182275     3.5947   1.9533571    
  3.8124726     3.5948   1.7642244    
  4.20707       3.5949   1.7465419    
  2.2477086     3.595    1.9534197    
  2.2894974     3.5951   2.1843398    
