wavelengths_angstrom spec1d_cal_photlam spec1d_cal_opt_photlam
15713.556593369489 5.211115411467069e-08 8.394269992870793e-08
15803.471228222928 8.582376172888859e-08 9.718127756446518e-08
15893.563524675757 7.917102579006327e-08 9.427294879214975e-08
15983.977164855942 5.8053491096907006e-08 9.442280614783251e-08
16074.60902241769 4.417526488900333e-08 7.251973226543164e-08
16165.480127630371 4.873792592907175e-08 7.284281171711877e-08
16256.591274256149 6.397236265745267e-08 8.803054184269883e-08
16347.876524525456 7.129428147141022e-08 8.697368193711383e-08
16439.40840759793 4.6325052215429466e-08 5.828792116360788e-08
16531.063326577078 5.226885664661713e-08 7.519967480869035e-08
16622.959191628368 6.257310302761611e-08 7.643204575538116e-08
16714.938726236902 3.7303191413145764e-08 7.80038842198447e-08
16807.14394026457 5.8993309170074965e-08 7.220191876002924e-08
16899.402971821455 5.895266391789201e-08 6.181349326485074e-08
16991.8646444377 6.06571505439742e-08 7.461218720647669e-08
17084.358093969226 4.0457691771381525e-08 7.621095083841358e-08
17177.024853959025 5.66061140016755e-08 5.913095740294783e-08
17269.70796030301 7.638496779364871e-08 8.472401714984604e-08
17362.53101662158 3.5238170183654864e-08 4.969912906668174e-08
17455.36039313564 4.285196594638673e-08 6.708929727111181e-08
17548.293022085927 5.320581079308375e-08 5.902141660240788e-08
17641.22649437919 8.131088966784274e-08 6.762397945256385e-08
17734.22306818595 4.000935522510081e-08 6.650122637059803e-08
17827.219641992713 5.708440234296007e-08 6.084533660790643e-08
17920.2360004507 1.861649590360522e-08 3.6587584518929854e-08
18013.25296864844 1.863922075632289e-08 2.801114900318021e-08
18106.257648241597 -9.750058948269109e-09 1.0032048532349011e-07
18199.261366762985 1.4898254107335407e-07 5.8549892232973504e-08
18292.250807912053 7.265338262976745e-07 1.4791851991413522e-06
18385.238385336495 3.7541688178197846e-06 4.528963886082397e-06
18478.2123932423 -8.16048468662261e-06 0.0002301695775133024
18571.183840514797 -6.955418964900797e-05 
18664.1552877873 -inf 
