# flux           loglam   ivar         
  2.3984265      3.5844   1.5321257    
  2.8353236      3.5845   1.3943244    
  3.4547446      3.5846   1.2823132    
  3.265511       3.5847   1.4452126    
  0.43923563     3.5848   1.4763212    
  4.438442       3.5849   1.2953244    
  0.9465017      3.585    1.2067376    
  2.977319       3.5851   1.2699453    
  4.87805        3.5852   1.2840749    
  0.9694842      3.5853   1.7958318    
  2.0732276      3.5854   1.7665417    
  1.8746983      3.5855   1.6365248    
  1.2089742      3.5856   1.5695275    
  3.505373       3.5857   1.4548281    
  3.6718862      3.5858   1.4607561    
  0.67392266     3.5859   1.8344531    
  2.2825165      3.586    1.627125     
  1.8825572      3.5861   1.7299374    
  2.7066143      3.5862   1.7937639    
  1.7598916      3.5863   1.8987505    
  0.9041823      3.5864   2.223292     
  1.7698536      3.5865   2.27748      
  1.5554649      3.5866   2.32241      
  2.3290713      3.5867   1.9724709    
  2.265077       3.5868   1.7174315    
  2.790828       3.5869   1.580655     
  2.5401778      3.587    1.7282438    
  1.7373617      3.5871   1.962763     
  3.4120946      3.5872   1.6563203    
  2.5749168      3.5873   1.6989026    
  3.4638498      3.5874   1.5947984    
  2.9191358      3.5875   1.7408527    
  1.3271656      3.5876   2.1779718    
  0.8637168      3.5877   2.4226       
  1.2394568      3.5878   2.3197045    
  1.5781883      3.5879   2.2485929    
  3.0719805      3.588    1.9992553    
  3.6053843      3.5881   1.8770788    
  3.1316707      3.5882   1.7256384    
  2.596205       3.5883   1.7592906    
  1.9956492      3.5884   1.8408973    
  1.7591838      3.5885   1.9554244    
  2.2247884      3.5886   2.1407695    
  2.5636857      3.5887   2.081513     
  1.7931128      3.5888   2.3349085    
  1.2940274      3.5889   2.2890196    
  3.254555       3.589    2.1514707    
  2.2838943      3.5891   2.1739857    
  2.839201       3.5892   2.2177813    
  2.3964345      3.5893   2.2115066    
  1.5558374      3.5894   2.5979393    
  1.5275967      3.5895   2.7618082    
  1.279369       3.5896   2.963946     
  3.3375673      3.5897   2.4696171    
  1.3510875      3.5898   2.843174     
  0.93245554     3.5899   3.0345805    
  1.4515126      3.59     2.6089094    
  0.8943708      3.5901   2.8644402    
  2.099774       3.5902   2.5977273    
  2.7957442      3.5903   2.3022583    
  1.8381255      3.5904   2.599005     
  1.6906995      3.5905   2.5981824    
  2.049586       3.5906   2.346741     
  1.9170445      3.5907   2.1740382    
  1.9975199      3.5908   2.2481453    
  1.5308142      3.5909   2.3882623    
  1.189457       3.591    2.5507755    
  2.4617202      3.5911   2.0174093    
  3.818819       3.5912   1.6525041    
  3.305847       3.5913   1.7179202    
  1.8278756      3.5914   2.036902     
  2.0718932      3.5915   2.2219584    
  2.510055       3.5916   2.0212915    
  1.5254806      3.5917   2.0923853    
  1.1826998      3.5918   2.0296457    
  2.4027843      3.5919   1.6106242    
  2.412089       3.592    1.4177159    
  2.4286883      3.5921   1.5134803    
  2.7668364      3.5922   1.6304307    
  2.4526725      3.5923   1.4888968    
  2.345494       3.5924   1.1561257    
  2.7035272      3.5925   1.1805831    
  2.1643143      3.5926   1.7042863    
  2.884459       3.5927   1.7538863    
  2.1318204      3.5928   1.8173165    
  2.9885778      3.5929   1.8371067    
  3.222376       3.593    1.919431     
  1.5979799      3.5931   2.3402643    
  2.4437492      3.5932   2.214323     
  2.6308599      3.5933   2.2284508    
  2.6199882      3.5934   2.242215     
  2.8103406      3.5935   2.1398568    
  2.715156       3.5936   2.0609922    
  2.1767538      3.5937   2.0425296    
  2.3370929      3.5938   2.0100722    
  4.3073373      3.5939   1.9238905    
  5.937579       3.594    1.7516401    
  5.6379757      3.5941   1.7556583    
  3.9808369      3.5942   2.0439107    
  2.3709834      3.5943   2.3333647    
  1.555947       3.5944   2.661443     
  1.7034087      3.5945   2.6498725    
  4.0171385      3.5946   2.092176     
  3.441337       3.5947   2.3793526    
  2.3993769      3.5948   2.2730634    
  2.872094       3.5949   2.6065352    
  0.9484335      3.595    2.8726       
  2.4048877      3.5951   2.818006     
  1.7230219      3.5952   2.6811953    
  2.903295       3.5953   2.5297573    
  3.5169108      3.5954   2.1860223    
  1.9260188      3.5955   2.6035078    
  3.3614757      3.5956   1.9623395    
  3.2378287      3.5957   1.8567322    
  2.6842852      3.5958   1.8896592    
  2.4534965      3.5959   2.079394     
  2.4379385      3.596    2.2630074    
  2.9085395      3.5961   2.2099276    
  4.076744       3.5962   1.9458438    
  2.959634       3.5963   1.9022431    
  3.4584193      3.5964   1.8897586    
  1.9082402      3.5965   2.513795     
  0.54851156     3.5966   2.8476517    
  1.6421747      3.5967   2.758737     
  1.6367065      3.5968   2.5519612    
  2.5190036      3.5969   2.5026963    
  1.3123631      3.597    2.5478723    
  2.563243       3.5971   2.5063455    
  3.4263048      3.5972   2.3051293    
  1.6236415      3.5973   2.646267     
  2.267429       3.5974   2.6579828    
  2.2631886      3.5975   2.598495     
  2.1557033      3.5976   2.5606594    
  2.4286368      3.5977   2.358719     
  2.7884896      3.5978   2.053992     
  2.6671546      3.5979   1.8984483    
  2.146239       3.598    2.123581     
  2.626071       3.5981   2.4496562    
  2.694591       3.5982   2.6959379    
  2.8645833      3.5983   2.7582772    
  3.1758487      3.5984   2.644234     
  3.0207198      3.5985   2.5628943    
  2.2285364      3.5986   2.8580241    
  1.9794242      3.5987   2.9065137    
  2.353739       3.5988   2.9708114    
  2.5873747      3.5989   3.134728     
  2.1452146      3.599    3.1368313    
  1.7817         3.5991   2.9208233    
  2.6084187      3.5992   2.717839     
  2.0392709      3.5993   2.6361167    
  3.6540086      3.5994   2.2704573    
  1.8817172      3.5995   2.4269433    
  1.3021296      3.5996   2.3379812    
  4.250363       3.5997   2.2924716    
  2.317754       3.5998   2.4801002    
  3.8772767      3.5999   2.3054845    
  2.6512825      3.6      2.0850174    
  2.0430255      3.6001   2.3208337    
  3.0772655      3.6002   2.377142     
  3.1930711      3.6003   2.4241931    
  1.5778008      3.6004   2.9200885    
  3.371427       3.6005   2.4074628    
  2.0807369      3.6006   2.5487201    
  1.5777733      3.6007   2.7433507    
  2.126092       3.6008   2.6594355    
  1.8169025      3.6009   2.6308458    
  1.8550144      3.601    2.6455104    
  2.7547917      3.6011   2.2810206    
  2.1646965      3.6012   2.5348423    
  1.9615545      3.6013   2.7070267    
  2.1375644      3.6014   2.724214     
  2.1736474      3.6015   2.7628777    
  2.918287       3.6016   2.590878     
  2.413184       3.6017   2.4813502    
  1.7970389      3.6018   2.9556718    
  1.9427291      3.6019   2.6064177    
  2.616959       3.602    2.6880424    
  3.1201012      3.6021   2.2570117    
  3.0110743      3.6022   2.2237892    
  2.3590932      3.6023   2.4541414    
  2.6809158      3.6024   2.6737127    
  2.5166893      3.6025   2.7501743    
  2.2121844      3.6026   2.662632     
  2.5313163      3.6027   2.5173225    
  2.6359818      3.6028   2.5258503    
  2.8431554      3.6029   2.5062225    
  1.8711823      3.603    2.3242135    
  2.1470304      3.6031   2.0877383    
  2.5175674      3.6032   2.16705      
  1.8800861      3.6033   2.3820245    
  2.3131046      3.6034   2.462262     
  1.0689069      3.6035   2.6920354    
  1.7645591      3.6036   2.7108545    
  2.0814707      3.6037   2.6838493    
  2.5600915      3.6038   2.5232205    
  3.4122288      3.6039   2.328614     
  1.8410745      3.604    2.5180283    
  2.2968302      3.6041   2.4789612    
  2.352254       3.6042   2.097384     
  2.0854998      3.6043   2.2531404    
  1.6846298      3.6044   2.3229141    
  1.5067261      3.6045   2.5685434    
  2.239393       3.6046   2.5222313    
  1.9966985      3.6047   2.7744372    
  1.1073171      3.6048   3.2147543    
  0.8279568      3.6049   3.4823604    
  1.4926         3.605    3.2592344    
