# flux          loglam   ivar         
  -0.4707429    3.5644   0.13366438   
  2.4475403     3.5645   0.1347323    
  5.561923      3.5646   0.116707705  
  1.7091832     3.5647   0.12334292   
  2.9664624     3.5648   0.12582116   
  3.4744256     3.5649   0.13328329   
  3.2973642     3.565    0.13759972   
  3.497566      3.5651   0.13679127   
  4.283809      3.5652   0.13103819   
  5.8497577     3.5653   0.122815974  
  6.876716      3.5654   0.13338415   
  -2.2334666    3.5655   0.17299423   
  0.49079528    3.5656   0.16479206   
  -0.34844312   3.5657   0.1749449    
  -0.6076544    3.5658   0.18435045   
  6.963435      3.5659   0.1507494    
  -0.24853745   3.566    0.20239067   
  4.956991      3.5661   0.15989904   
  3.2418356     3.5662   0.18825519   
  1.8627772     3.5663   0.20013027   
  2.7782724     3.5664   0.19847295   
  1.4120374     3.5665   0.20071334   
  2.6576586     3.5666   0.19521119   
  2.6785474     3.5667   0.2124263    
  1.4094768     3.5668   0.24409759   
  0.9397152     3.5669   0.24440454   
  1.0166253     3.567    0.23398228   
  1.2446455     3.5671   0.22556797   
  2.961416      3.5672   0.2093277    
  -0.42458928   3.5673   0.23336178   
  2.4025192     3.5674   0.21470176   
  1.4502856     3.5675   0.2519069    
  0.35670903    3.5676   0.25209796   
  4.498756      3.5677   0.24211729   
  -1.2090343    3.5678   0.2594235    
  3.1169848     3.5679   0.19996974   
  0.40138888    3.568    0.19045308   
  0.17223509    3.5681   0.18148829   
  3.5637932     3.5682   0.17881396   
  3.4854488     3.5683   0.18374231   
  4.0750856     3.5684   0.1949415    
  1.3648132     3.5685   0.21366014   
  2.4523647     3.5686   0.20403472   
  4.1200147     3.5687   0.20283248   
  3.524382      3.5688   0.22141726   
  1.4599451     3.5689   0.26171738   
  0.019463127   3.569    0.28190237   
  3.5299847     3.5691   0.26064882   
  2.7727423     3.5692   0.26176703   
  0.28966355    3.5693   0.2717589    
  -0.31075874   3.5694   0.28451517   
  2.8180406     3.5695   0.24731557   
  9.433916      3.5696   0.2204726    
  4.8096304     3.5697   0.22972359   
  9.189839      3.5698   0.23741      
  4.86216       3.5699   0.2747926    
  -2.1503878    3.57     0.33954918   
  3.6551266     3.5701   0.33703113   
  2.0933208     3.5702   0.33111554   
  3.2516284     3.5703   0.34240183   
  1.1209749     3.5704   0.36109725   
  -0.9088631    3.5705   0.3812242    
  0.029673295   3.5706   0.39263684   
  3.2816262     3.5707   0.33244923   
  6.2727137     3.5708   0.31061366   
  -0.3552971    3.5709   0.33642933   
  2.706586      3.571    0.34781122   
  4.9486184     3.5711   0.28742903   
  3.4659576     3.5712   0.32953963   
  3.608492      3.5713   0.3578527    
  -0.16396908   3.5714   0.38968945   
  2.7625525     3.5715   0.3653458    
  4.176048      3.5716   0.33830947   
  1.8408134     3.5717   0.34315807   
  1.8193904     3.5718   0.30670425   
  6.5263352     3.5719   0.2526045    
  5.189963      3.572    0.26908427   
  1.483072      3.5721   0.29753107   
  0.59195864    3.5722   0.32940862   
  1.7683692     3.5723   0.3329121    
  2.0503974     3.5724   0.30774722   
  0.7710522     3.5725   0.35666868   
  1.3805685     3.5726   0.31721237   
  2.9083114     3.5727   0.29307613   
  2.6447978     3.5728   0.28364426   
  3.8926423     3.5729   0.27126992   
  4.1012015     3.573    0.2779604    
  0.30526474    3.5731   0.33929005   
  0.2457693     3.5732   0.3558953    
  1.9557862     3.5733   0.35260892   
  4.3736606     3.5734   0.34450266   
  2.0994847     3.5735   0.40285435   
  -1.215025     3.5736   0.44215864   
  0.85117596    3.5737   0.40091908   
  2.5175402     3.5738   0.39350095   
  1.3910517     3.5739   0.46821105   
  0.10231186    3.574    0.4696702    
